Paid Price,Postcode,Type,LSOA,total_floor_area_m2,Employment,Health,Crime,Income,Education,Address
170000,BD4 6BS,S,E01010817,68,3185,2266,2143,46325,41.8,78 BIERLEY HOUSE AVENUE
155000,BD4 6JL,S,E01010815,68,5471,5448,2677,46325,41.8,8 HOPTON AVENUE
160000,BD5 8AE,S,E01010815,60,5471,5448,2677,46325,41.8,30 BANNOCKBURN COURT
142250,BD4 6QS,T,E01011055,75,22656,21185,16139,56082,45.9,198 TOFTSHAW LANE
50000,BD4 7EJ,T,E01010734,73,1174,4529,833,36691,41.8,46 PALEY ROAD
65000,BD4 7JG,T,E01010613,87,1831,3470,2061,36691,41.8,17 ALBAN STREET
165000,BD4 7RH,S,E01010613,51,1831,3470,2061,36691,41.8,42 FLOCKTON ROAD
172500,BD4 8QY,T,E01010614,73,3679,2911,5841,38827,41.8,21 FENBY GROVE
64000,BD4 9LP,T,E01010614,76,3679,2911,5841,38827,41.8,7 LILIAN STREET
145000,BD4 9AR,S,E01010822,79,467,255,569,35177,41.8,102 KNOWLES LANE
125000,BD4 9DU,S,E01010819,84,47,293,95,35177,41.8,13 BIDEFORD MOUNT
121000,BD4 9NB,T,E01010615,98,6037,7113,1017,42414,41.8,36 MELFORD STREET
137000,BD5 8LQ,S,E01010615,58,6037,7113,1017,42414,41.8,96 SANGSTER WAY
130000,BD5 0HY,T,E01010731,150,1632,5200,1994,35761,41.8,4 MELBOURNE TERRACE
65000,BD5 0NN,T,E01010731,58,1632,5200,1994,35761,41.8,28 LOUIS AVENUE
50000,BD5 7PA,S,E01010738,64,4506,5939,4619,41393,41.8,15 LINDLEY ROAD
112500,BD5 9RA,T,E01010738,63,4506,5939,4619,41393,41.8,15 HALCYON WAY
120000,BD5 8AL,F,E01010742,79,1956,4019,3088,42414,41.8,16 MUMFORD STREET
77500,BD5 8AR,T,E01010742,104,1956,4019,3088,42414,41.8,29 DICKENS STREET
104000,BD5 8BG,T,E01010737,60,651,1954,884,35761,41.8,4 CLOUGH STREET
155000,BD5 8QT,S,E01010616,84,3582,4653,7739,42414,41.8,17 TRISTRAM AVENUE
80000,BD5 9DN,T,E01010740,104,5499,7375,7389,41393,41.8,47 THORNTON LANE
96000,BD5 9EB,T,E01010739,70,783,1601,764,41393,41.8,37 SOUTHFIELD ROAD
127000,BD5 9RD,T,E01010739,60,783,1601,764,41393,41.8,42 HALCYON WAY
62500,BD5 9HB,T,E01010666,53,192,566,375,38279,41.8,40 HAYCLIFFE ROAD
67000,BD7 3LY,T,E01010666,74,192,566,375,38279,41.8,55 HALSTEAD PLACE
139950,BD6 1AL,T,E01010747,77,4724,9902,4744,39739,41.8,54 WIBSEY BANK
150000,BD6 1DN,T,E01010750,78,17129,10809,7614,44448,41.8,45 LARCH HILL
116000,BD6 1HD,T,E01010749,70,3987,5751,955,39739,41.8,67 SMITH AVENUE
120000,BD6 1QA,T,E01010748,86,2528,3712,1292,39739,41.8,118 ELMFIELD DRIVE
205000,BD6 1QL,S,E01010848,130,12478,12184,5370,45370,41.8,106 FAIR ROAD
132500,BD6 1TG,T,E01010848,71,12478,12184,5370,45370,41.8,47 TENNYSON ROAD
285000,BD6 3EY,S,E01010848,100,12478,12184,5370,45370,41.8,33 BEACON ROAD
305000,BD6 3QS,D,E01010848,92,12478,12184,5370,45370,41.8,11 COVER DRIVE
125000,BD6 1RZ,D,E01010853,76,13811,9859,10796,45370,41.8,47 BROWNROYD HILL ROAD
165000,BD6 1SY,T,E01010849,99,18454,15102,9949,42055,41.8,1 ST HELENA ROAD
162000,BD6 3RA,S,E01010849,81,18454,15102,9949,42055,41.8,35 REEVY DRIVE
152500,BD6 2JD,T,E01010851,74,12076,15200,2309,42055,41.8,32 FARFIELD AVENUE
130000,BD6 2LS,S,E01010851,81,12076,15200,2309,42055,41.8,40 GLENDALE DRIVE
345000,BD6 2JS,D,E01010741,113,13234,12110,2933,42055,41.8,7 SOMERVILLE PARK
